,Source,Target,Weight,shared_publications
0,-Gp8ghkAAAAJ,iiG9_YQAAAAJ,1,['Personal Time-Lapse']
1,-Gp8ghkAAAAJ,llo3F3QAAAAJ,1,['Head-mounted Augmented Reality for Guided Surface Reflectance Capture']
2,Ku5gTYQAAAAJ,IeqjwlIAAAAJ,2,"['Ai suggestions homogenize writing toward western styles and diminish cultural nuances', 'Examining Human-AI Collaboration for Co-Writing Constructive Comments Online']"
3,Ku5gTYQAAAAJ,l3ZT5GkAAAAJ,1,['Investigating technostress among teachers in low-income Indian schools']
4,Ku5gTYQAAAAJ,xU-3sCQAAAAJ,1,['Outlining the Borders for LLM Applications in Patient Education: Developing an Expert-in-the-Loop LLM-Powered Chatbot for Prostate Cancer Patient Education']
5,Ku5gTYQAAAAJ,jNQlAkoAAAAJ,3,"['Accept or address? Researchers’ perspectives on response bias in accessibility research', 'Nothing micro about it: Examining ableist microaggressions on social media', '“Vulnerable, Victimized, and Objectified”: Understanding Ableist Hate and Harassment Experienced by Disabled Content Creators on Social Media']"
6,Ku5gTYQAAAAJ,Iiut4KYAAAAJ,1,['Challenges and issues integrating smartphones into teacher support programs in India']
7,gzHLTVwAAAAJ,uBFV6SUAAAAJ,2,"['Automate or Assist? The Role of Computational Models in Identifying Gendered Discourse in US Capital Trial Transcripts', 'Seasonality Visualizations of Online Text']"
8,gzHLTVwAAAAJ,8qSK3noAAAAJ,1,['Trucks Don’t Mean Trump: Diagnosing Human Error in Image Analysis']
9,gzHLTVwAAAAJ,l3ZT5GkAAAAJ,1,['Towards an Educator-Centered Method for Measuring Bias in Large Language Model-Based Chatbot Tutors']
10,cfUvMIYAAAAJ,VCuHXdMAAAAJ,1,['Large spectral density matrix estimation by thresholding']
11,udwtIesAAAAJ,8qSK3noAAAAJ,1,['Equitable Congestion Pricing under the Markovian Traffic Model: An Application to Bogota']
12,3lliiesAAAAJ,waote-8AAAAJ,3,"['The Paradox of Customization: Negotiating racial identity with"" multiple choice"" in avatar', 'Integrating qualitative methods and open science: Five principles for more trustworthy research', 'The Paradox of Customization: Negotiating racial identity with"" multiple choice"" in avatar creation']"
13,3lliiesAAAAJ,g_ayYI0AAAAJ,1,['Supporting self-injury recovery: the potential for virtual reality intervention']
14,3lliiesAAAAJ,jNQlAkoAAAAJ,8,"['Exploring the Accessibility of Social Virtual Reality for People with ADHD and Autism: Preliminary Insights', '“Invisible Illness Is No Longer Invisible”: Making Social VR Avatars More Inclusive for Invisible Disability Representation', '“I Try to Represent Myself as I Am”: Self-Presentation Preferences of People with Invisible Disabilities through Embodied Social VR Avatars', 'Accessible Nonverbal Cues to Support Conversations in VR for Blind and Low Vision People', 'SocialCueSwitch: Towards Customizable Accessibility by Representing Social Cues in Multiple Senses', 'The Looking-Glass Avatar: Representing Chronic Pain through Social Virtual Reality Avatar Movement', 'An AI Guide to Enhance Accessibility of Social Virtual Reality for Blind People', '“The Guide Has Your Back”: Exploring How Sighted Guides Can Enhance Accessibility in Social Virtual Reality for Blind and Low Vision People']"
15,ovlpa_IAAAAJ,Ormag-QAAAAJ,1,['Supporting workflow in a course management system']
16,ovlpa_IAAAAJ,LV1qWjgAAAAJ,2,"['Language-based security for malicious mobile code', 'Supporting workflow in a course management system']"
17,ovlpa_IAAAAJ,sxjynOsAAAAJ,3,"['Quantifying information flow with beliefs', 'Language-based security for malicious mobile code', 'Belief in information flow']"
18,ovlpa_IAAAAJ,Dswus94AAAAJ,1,['Language-based security for malicious mobile code']
19,ovlpa_IAAAAJ,e1iAhHQAAAAJ,3,"['Path planning under malicious injections and removals of perceived obstacles: A probabilistic programming approach', 'Videos of demo of self-driving robot with map verification', 'Secure autonomous cyber-physical systems through verifiable information flow control']"
20,ovlpa_IAAAAJ,AH5j40kAAAAJ,1,"['Efficient, consistent distributed computation with predictive treaties']"
21,iiG9_YQAAAAJ,pfBh4zEAAAAJ,1,['Rapidly Built Medical Crash Cart! Lessons Learned and Impacts on High-Stakes Team Collaboration in the Emergency Room']
22,iiG9_YQAAAAJ,e0IL7_MAAAAJ,1,['Rapidly Built Medical Crash Cart! Lessons Learned and Impacts on High-Stakes Team Collaboration in the Emergency Room']
23,VqOc5C8AAAAJ,v7EjGHkAAAAJ,1,['STAT: Shrinking Transformers After Training']
24,BaArKOYAAAAJ,ZKeyKNgAAAAJ,1,['Games and Economic Behavior has benefitted from the editorial advice of many individuals. We are especially grateful to the following people for their help during the years …']
25,BaArKOYAAAAJ,LV1qWjgAAAAJ,1,['Information and Computation Author Index']
26,BaArKOYAAAAJ,4Z6vo5QAAAAJ,1,['Einige Literaturhinweise']
27,uf0D-uoAAAAJ,3_WYcR4AAAAJ,2,"['Winter 2016: The Internet The', 'Reassembling our digital selves']"
28,uf0D-uoAAAAJ,Dswus94AAAAJ,1,"['David Basin, ETH Zurich']"
29,uf0D-uoAAAAJ,ZocLOAMAAAAJ,1,['Malevolent machine learning']
30,uf0D-uoAAAAJ,duOys3YAAAAJ,1,['Malevolent machine learning']
31,uf0D-uoAAAAJ,u3QxA40AAAAJ,3,"['Design choices for central bank digital currency', 'Design choices for central bank digital currency: Policy and technical considerations', 'Central bank digital currency in an historical perspective']"
32,uf0D-uoAAAAJ,MGVrVSIAAAAJ,16,"['The pythia {PRF} service', 'Cross-VM side channels and their use to extract private keys', 'Cross-tenant side-channel attacks in PaaS clouds', 'A formal treatment of backdoored pseudorandom generators', 'pASSWORD tYPOS and how to correct them securely', 'Rethinking security in the era of cloud computing', 'Cracking-resistant password vaults using natural language encoders', 'Stealing machine learning models via prediction {APIs}', 'Determining instances to maintain on at least one cloud responsive to an evaluation of performance characteristics', 'More for your money: exploiting performance heterogeneity in public clouds', 'A New Distribution Sensitive Secure Sketch and a Comparison Between Approaches to Typo-Tolerant Authentication.', 'A new distribution-sensitive secure sketch and popularity-proportional hashing', 'pASSWORD tYPOS', 'More for your money', 'Honey encryption: Encryption beyond the brute-force barrier', 'Honey encryption: Security beyond the brute-force bound']"
33,pJ28HA0AAAAJ,TX-OphwAAAAJ,3,"['Computational Sustainability: Computing for a Better World and a Sustainable Future Computer and information scientists join forces with other fields to help solve societal and …', 'Computational Sustainability', 'Computational sustainability: Computing for a better world and a sustainable future']"
34,pJ28HA0AAAAJ,4Z6vo5QAAAAJ,8,"['Hidden community detection on two-layer stochastic models: A theoretical perspective', 'Computational Sustainability: Computing for a Better World and a Sustainable Future Computer and information scientists join forces with other fields to help solve societal and …', 'Tracking evolving communities in large linked networks', 'Computational Sustainability', 'Natural communities in large linked networks', 'Computational sustainability: Computing for a better world and a sustainable future', 'The Natural Communities Algorithm for Tracking the Evolution of Large Networks', 'Structure Amplification on Multi-layer Stochastic Block Models']"
35,pJ28HA0AAAAJ,8RVWMycAAAAJ,1,['Understanding batch normalization']
36,pJ28HA0AAAAJ,HbFGylgAAAAJ,4,"['HEAVY TAILS, PHASE TRANSITIONS, AND THE NATURE OF CUTOFF', 'Analysis of random walk and random noise algorithms for satisfiability testing', 'Heavy Tails, Phase Transitions, and the Nature of Cutoff', 'Analysis of random noise and random walk algorithms for satisfiability testing']"
37,TpglobcAAAAJ,v7EjGHkAAAAJ,2,"['Cloud-hosted intelligence for real-time IoT applications', 'Neural caches for Monte Carlo partial differential equation solvers']"
38,TpglobcAAAAJ,ex9BQiIAAAAJ,4,"['Visual prompt tuning', 'The fashionpedia ontology and fashion segmentation dataset', 'Fashionpedia: Ontology, segmentation, and an attribute localization dataset', 'Fashionpedia: Ontology, Segmentation, and an Attribute Localization Dataset']"
39,TpglobcAAAAJ,oBldxf0AAAAJ,4,"['Learning gradient fields for shape generation', 'Doppelgangers: Learning to disambiguate images of similar structures', 'Doppelgangers: Learning to Disambiguate Images of Similar Structures Supplemental Material', 'Extreme rotation estimation using dense correlation volumes']"
40,TpglobcAAAAJ,duOys3YAAAAJ,1,['Perceiving signs for navigation guidance in spaces designed for humans']
41,TpglobcAAAAJ,Rh16nsIAAAAJ,14,"['Picie: Unsupervised semantic segmentation using invariance and equivariance in clustering', 'Machine learning (ML) for tracking fashion trends: Documenting the frequency of the baseball cap on social media and the runway', 'Zero-shot learning using multimodal descriptions', 'Remote sensing vision-language foundation models without annotations via ground remote alignment', 'Field-guide-inspired zero-shot learning', 'DiSciPLE: Learning Interpretable Programs for Scientific Discovery', 'AllClear: A Comprehensive Dataset and Benchmark for Cloud Removal in Satellite Imagery', 'DiSciPLE: Learning Interpretable Programs for Scientific Visual Discovery', 'Geostyle: Discovering fashion trends and events', 'Change-aware sampling and contrastive learning for satellite images', 'Change event dataset for discovery from spatio-temporal remote sensing imagery', 'PiCIE: Unsupervised Semantic Segmentation using Invariance and Equivariance in Clustering–Supplementary Materials', 'Activation Regression for Continuous Domain Generalization with Applications to Crop Classification', 'Scale-Aware Recognition in Satellite Images under Resource Constraints']"
42,TpglobcAAAAJ,I-rKkyEAAAAJ,1,['Cloud-hosted intelligence for real-time IoT applications']
43,TpglobcAAAAJ,8RVWMycAAAAJ,25,"['Unsupervised Domain Adaptation for Self-Driving from Past Traversal Features', 'Pre-training lidar-based 3d object detectors through colorization', 'End-to-end pseudo-lidar for image-based 3d object detection', 'Resource aware person re-identification across multiple resolutions', 'Supplementary Material: Pseudo-LiDAR from Visual Depth Estimation: Bridging the Gap in 3D Object Detection for Autonomous Driving', 'Wasserstein distances for stereo disparity estimation', 'Ithaca365: Dataset and driving perception under repeated and challenging weather conditions', ""Learning 3D Perception from Others' Predictions"", 'Supplementary Material: Train in Germany, Test in The USA: Making 3D Object Detectors Generalize', 'Unsupervised adaptation from repeated traversals for autonomous driving', 'Pseudo-lidar++: Accurate depth for 3d object detection in autonomous driving', 'Ldls: 3-d object segmentation through label diffusion from 2-d images', 'Exploiting playbacks in unsupervised domain adaptation for 3d object detection in self-driving cars', 'Transfer Your Perspective: Controllable 3D Generation from Any Viewpoint in a Driving Scene', 'Supplementary Material: Wasserstein Distances for Stereo Disparity Estimation', 'Mixed Signals: A Diverse Point Cloud Dataset for Heterogeneous LiDAR V2X Collaboration', 'Image-to-image translation for autonomous driving from coarsely-aligned image pairs', 'Diffubox: Refining 3d object detection with point diffusion', 'Better monocular 3d detectors with lidar from the past', 'Exploiting playbacks in unsupervised domain adaptation for 3D object detection', 'Train in germany, test in the usa: Making 3d object detectors generalize', 'Reward finetuning for faster and more accurate unsupervised object discovery', 'Pseudo-lidar from visual depth estimation: Bridging the gap in 3d object detection for autonomous driving', 'Learning to detect mobile objects from lidar scans without labels', 'Hindsight is 20/20: Leveraging past traversals to aid 3d perception']"
44,TpglobcAAAAJ,e1iAhHQAAAAJ,24,"['Unsupervised Domain Adaptation for Self-Driving from Past Traversal Features', 'Pre-training lidar-based 3d object detectors through colorization', 'End-to-end pseudo-lidar for image-based 3d object detection', 'Supplementary Material: Pseudo-LiDAR from Visual Depth Estimation: Bridging the Gap in 3D Object Detection for Autonomous Driving', 'Wasserstein distances for stereo disparity estimation', 'Ithaca365: Dataset and driving perception under repeated and challenging weather conditions', ""Learning 3D Perception from Others' Predictions"", 'Supplementary Material: Train in Germany, Test in The USA: Making 3D Object Detectors Generalize', 'Unsupervised adaptation from repeated traversals for autonomous driving', 'Pseudo-lidar++: Accurate depth for 3d object detection in autonomous driving', 'Orientation-Discriminative Feature Representation for Decentralized Pedestrian Tracking', 'Exploiting playbacks in unsupervised domain adaptation for 3d object detection in self-driving cars', 'Transfer Your Perspective: Controllable 3D Generation from Any Viewpoint in a Driving Scene', 'Supplementary Material: Wasserstein Distances for Stereo Disparity Estimation', 'Mixed Signals: A Diverse Point Cloud Dataset for Heterogeneous LiDAR V2X Collaboration', 'Image-to-image translation for autonomous driving from coarsely-aligned image pairs', 'Diffubox: Refining 3d object detection with point diffusion', 'Better monocular 3d detectors with lidar from the past', 'Exploiting playbacks in unsupervised domain adaptation for 3D object detection', 'Train in germany, test in the usa: Making 3d object detectors generalize', 'Reward finetuning for faster and more accurate unsupervised object discovery', 'Pseudo-lidar from visual depth estimation: Bridging the gap in 3d object detection for autonomous driving', 'Learning to detect mobile objects from lidar scans without labels', 'Hindsight is 20/20: Leveraging past traversals to aid 3d perception']"
45,TpglobcAAAAJ,llo3F3QAAAAJ,4,"['Accurate Differential Operators for Neural Fields', 'ObjectCarver: Semi-automatic segmentation, reconstruction and separation of 3D objects', 'Neural caches for Monte Carlo partial differential equation solvers', 'Accurate differential operators for hybrid neural fields']"
46,TpglobcAAAAJ,RY_t8XAAAAAJ,1,['Interfering with Interference: Blind Shuffling and Superposition for Better Multi-Model Compression']
47,UGDVOZgAAAAJ,0zrqo3B-66wC,1,['Program Co-Chairs']
48,v7EjGHkAAAAJ,uBFV6SUAAAAJ,2,"[""Tecnologica cosa: Modeling Storyteller Personalities in Boccaccio's Decameron"", 'Report of the 1st Workshop on Generative AI and Law']"
49,v7EjGHkAAAAJ,u3QxA40AAAAJ,7,"['Arbitrariness and social prediction: The confounding role of variance in fair classification', 'Machine Unlearning Doesn’t Do What You Think', ""Machine Unlearning Doesn't Do What You Think: Lessons for Generative AI Policy, Research, and Practice"", 'Is My Prediction Arbitrary? Confounding Effects of Variance in Fair Classification', 'Arbitrariness and Prediction: The Confounding Role of Variance in Fair Classification', 'Report of the 1st Workshop on Generative AI and Law', 'Is My Prediction Arbitrary? The Confounding Effects of Variance in Fair Classification Benchmarks']"
50,v7EjGHkAAAAJ,70vJVxcAAAAJ,1,['Distributed learning with sublinear communication']
51,v7EjGHkAAAAJ,VX7d5EQAAAAJ,3,"['Arbitrariness and social prediction: The confounding role of variance in fair classification', 'Arbitrariness and Prediction: The Confounding Role of Variance in Fair Classification', 'Is My Prediction Arbitrary? Confounding Effects of Variance in Fair Classification']"
52,v7EjGHkAAAAJ,FsBCAfgAAAAJ,1,['Inference for probabilistic dependency graphs']
53,v7EjGHkAAAAJ,lNM0S1kAAAAJ,1,['Accuracy-efficiency trade-offs and accountability in distributed ML systems']
54,v7EjGHkAAAAJ,nX9D5AoAAAAJ,2,"['Distributed learning with sublinear communication', 'From gradient flow on population loss to learning with stochastic gradient descent']"
55,v7EjGHkAAAAJ,I-rKkyEAAAAJ,1,['Cloud-hosted intelligence for real-time IoT applications']
56,v7EjGHkAAAAJ,8RVWMycAAAAJ,1,['Low-precision reinforcement learning: running soft actor-critic in half precision']
57,v7EjGHkAAAAJ,rEjgIskAAAAJ,1,"[""Machine Unlearning Doesn't Do What You Think: Lessons for Generative AI Policy, Research, and Practice""]"
58,v7EjGHkAAAAJ,llo3F3QAAAAJ,1,['Neural caches for Monte Carlo partial differential equation solvers']
59,v7EjGHkAAAAJ,5tk1PV8AAAAJ,1,['Cost-sensitive learning via deep policy erm']
60,v7EjGHkAAAAJ,RY_t8XAAAAAJ,5,"['Quip#: Even better llm quantization with hadamard incoherence and lattice codebooks', 'Diffusion Models With Learned Adaptive Noise Processes', 'Infodiffusion: Representation learning using information maximizing diffusion models', 'Quip: 2-bit quantization of large language models with guarantees', 'Diffusion models with learned adaptive noise']"
61,ex9BQiIAAAAJ,uJ4q1wcAAAAJ,1,['Graduate Study in Information Science at Cornell University']
62,ex9BQiIAAAAJ,Rh16nsIAAAAJ,1,['Computer science chairs']
63,ex9BQiIAAAAJ,I-rKkyEAAAAJ,1,['Computer science chairs']
64,ex9BQiIAAAAJ,8RVWMycAAAAJ,1,['Adversarial deep averaging networks for cross-lingual sentiment classification']
65,ex9BQiIAAAAJ,oJESe-cAAAAJ,2,"['Opinion mining and sentiment analysis', 'The power of negative thinking: Exploiting label disagreement in the min-cut classification framework']"
66,ex9BQiIAAAAJ,6c5cf1wAAAAJ,1,['Graduate Study in Information Science at Cornell University']
67,ex9BQiIAAAAJ,zkvW8FQAAAAJ,1,['A measure of polarization on social media networks based on community boundaries']
68,ex9BQiIAAAAJ,w72MSFoAAAAJ,1,['Wildhallucinations: Evaluating long-form factuality in llms with real-world entity queries']
69,ex9BQiIAAAAJ,XuQW7ogAAAAJ,1,['When in Doubt: Improving Classification Performance with Alternating Normalization']
70,y5bS43UAAAAJ,uJ4q1wcAAAAJ,9,"['The impact of negative relations on performance and satisfaction in group work', 'Homophily of network ties and bonding and bridging social capital in computer-mediated distributed teams', 'Focused activities and the development of social capital in a distributed learning “community”', 'One university, two campuses: Initiating and sustaining research collaborations between two campuses of a single institution', ""That's what friends are for: facilitating'who knows what'across group boundaries"", 'Cross‐campus collaboration: A scientometric and network case study of publication activity across two campuses of a single institution', 'Bridging social and awareness networks in distributed research collaboration', 'Exploring negative group dynamics: Adversarial network, personality, and performance in project groups', 'The diffusion of a task recommendation system to facilitate contributions to an online community']"
71,y5bS43UAAAAJ,g_ayYI0AAAAJ,8,"['Recognition of expertise and perceived influence in intercultural collaboration: A study of mixed American and Chinese groups', 'Expertise judgment and communication accommodation in linguistic styles in computer-mediated and face-to-face groups', 'Expertise recognition and influence in intercultural groups: Differences between face-to-face and computer-mediated communication', 'Judging expertise through communication styles in intercultural collaboration', 'Unpacking medium effects on social psychological processes in computer-mediated communication using the social relations model', 'Talk and Let Talk: Effects of Language Proficiency on Speaking Up and Expertise Recognition in Team', 'How Has Technology Changed Group Communication? A Keyword Analysis of Research on Groups and Technology', 'Talk and let talk: The effects of language proficiency on speaking up and competence perceptions in multinational teams']"
72,njczUPMAAAAJ,VX7d5EQAAAAJ,3,"['Characterizing and curating conversation threads: expansion, focus, volume, re-entry', 'Competition and selection among conventions', 'You had me at hello: How phrasing affects memorability']"
73,njczUPMAAAAJ,oJESe-cAAAAJ,8,"['For the sake of simplicity: Unsupervised extraction of lexical simplifications from Wikipedia', 'Hedge detection as a lens on framing in the GMO debates: A position paper', 'Taking a turn for the better: Conversation redirection throughout the course of mental-health therapy', 'Chameleons in imagined conversations: A new approach to understanding coordination of linguistic style in dialogs', 'Winning Arguments: Interaction Dynamics and Persuasion Strategies in Good-faith Online Discussions', 'Tie-breaker: Using language models to quantify gender bias in sports journalism', 'When confidence and competence collide: Effects on online decision-making discussions', 'You had me at hello: How phrasing affects memorability']"
74,3GyrQrMAAAAJ,lNM0S1kAAAAJ,1,['Pseudo-Automation: How Labor-Offsetting Technologies Reconfigure Roles and Relationships in Frontline Retail Work']
75,3GyrQrMAAAAJ,waote-8AAAAJ,2,"['From Fake Perfects to Conversational Imperfects: Exploring Image-Generative AI as a Boundary Object for Participatory Design of Public Spaces', 'Image generative ai to design public spaces: a reflection of how ai could improve co-design of public parks']"
76,E5BaF-AAAAAJ,7fvHhzsAAAAJ,8,"['A Bayesian multivariate functional dynamic linear model', 'Correction to: Dynamic Shrinkage Processes', 'Dynamic Shrinkage Processes (vol 31, pg 781, 2019)', 'Functional autoregression for sparsely sampled data', 'Dynamic shrinkage processes', 'Supplement to “A Bayesian Multivariate Functional Dynamic Linear Model”', 'Cepheid light curve demography via Bayesian functional data analysis', 'Light curve demography via Bayesian functional data analysis']"
77,E5BaF-AAAAAJ,1z2uFcQAAAAJ,7,"['A Bayesian multivariate functional dynamic linear model', 'Correction to: Dynamic Shrinkage Processes', 'Dynamic Shrinkage Processes (vol 31, pg 781, 2019)', 'Functional autoregression for sparsely sampled data', 'Data Science in Science: Special Issue on Data Science in Modern Finance', 'Dynamic shrinkage processes', 'Supplement to “A Bayesian Multivariate Functional Dynamic Linear Model”']"
78,E5BaF-AAAAAJ,KIb4BKIAAAAJ,2,"['Cepheid light curve demography via Bayesian functional data analysis', 'Light curve demography via Bayesian functional data analysis']"
79,TX-OphwAAAAJ,4Z6vo5QAAAAJ,3,"['Computational Sustainability: Computing for a Better World and a Sustainable Future Computer and information scientists join forces with other fields to help solve societal and …', 'Computational Sustainability', 'Computational sustainability: Computing for a better world and a sustainable future']"
80,04TuVhEAAAAJ,uBFV6SUAAAAJ,7,"['From correlation to hierarchy: Practical topic modeling via spectral inference', 'On-the-Fly Rectification for Robust Large-Vocabulary Topic Inference', 'Practical correlated topic modeling and analysis via the rectified anchor word algorithm', 'Prior-aware composition inference for spectral topic models', 'Prior-aware dual decomposition: Document-specific topic inference for spectral topic models', 'Robust Spectral Inference for Joint Stochastic Matrix Factorization (Supplementary Material)', 'Robust spectral inference for joint stochastic matrix factorization']"
81,04TuVhEAAAAJ,0zrqo3B-66wC,2,"['Oceanstore: An architecture for global-scale persistent storage', 'Oceanstore: An extremely wide-area storage system']"
82,04TuVhEAAAAJ,4Z6vo5QAAAAJ,10,"['Local spectral diffusion for robust community detection', 'Krylov subspace approximation for local community detection', 'Local Lanczos spectral approximation for community detection', 'Locally-biased spectral approximation for community detection', 'FINDING OVERLAPPING COMMUNITIES FROM SUBSPACES', 'Local spectral clustering for overlapping community detection', 'Uncovering the small community structure in large networks: A local spectral approach', 'Krylov subspace approximation for local community detection in large networks', 'Overlapping community detection via local spectral clustering', 'Detecting overlapping communities from local spectral subspaces']"
83,04TuVhEAAAAJ,VX7d5EQAAAAJ,1,['How bad is forming your own opinion?']
84,04TuVhEAAAAJ,HsfKE0sAAAAJ,1,['Bean: A Language for Backward Error Analysis']
85,04TuVhEAAAAJ,8RVWMycAAAAJ,1,['Gpytorch: Blackbox matrix-matrix gaussian process inference with gpu acceleration']
86,ZKeyKNgAAAAJ,7fvHhzsAAAAJ,1,"['Books for review If you would like to review a book, and thereby to retain it for your collection, please contact the Book Reviews Editor, whose details can be found by …']"
87,ZKeyKNgAAAAJ,h6jljQQAAAAJ,5,"['Learning in Markets with Heterogeneous Agents: Dynamics and Survival of Bayesian vs. No-Regret Learners', 'Trading networks with price-setting agents', 'Introduction to computer science and economic theory', 'Network formation in the presence of contagious risk', 'Which networks are least susceptible to cascading failures?']"
88,ZKeyKNgAAAAJ,VX7d5EQAAAAJ,25,"['Data Mining and Social Network Analysis', 'Information cascades', 'Positive and negative relationships', 'Modeling network traffic using game theory', 'Trading networks with price-setting agents', 'Bargaining and Power in Networks', 'Strong and weak ties', 'Which networks are least susceptible to cascading failures?', 'Matching Markets', 'Introduction to computer science and economic theory', 'Sponsored Search Markets', 'The small-world phenomenon', 'Networks, crowds, and markets: Reasoning about a highly connected world', 'Books for review If you would like to review a book, and thereby to retain it for your collection, please contact the Book Reviews Editor, whose details can be found by …', 'Networks', 'Power laws and rich-get-richer phenomena', 'Network effects', 'Networks in their surrounding contexts', 'Cascading behavior in networks', 'Science, Technology & Medicine', 'A New Start: Innovative Introductory AI-Centered Courses at Cornell.', 'The structure of the Web', 'Network formation in the presence of contagious risk', 'Evolutionary game theory', 'Link Analysis and Web Search']"
89,ZKeyKNgAAAAJ,FsBCAfgAAAAJ,2,"['p250—Acknowledgment', 'Constructive decision theory']"
