,Source,Target,Weight,shared_publications
171,ZocLOAMAAAAJ,ESJILIEAAAAJ,2,"['Designing a Soft, Mobile Interface for Multimodal Human-Robot Interaction', 'Nudging or waiting? automatically synthesized robot strategies for evacuating noncompliant users in an emergency situation']"
172,ZocLOAMAAAAJ,X1zsXTgAAAAJ,1,['Inferring human intent and predicting human action in human–robot collaboration']
173,ZocLOAMAAAAJ,kjYhZYwAAAAJ,3,"['Designing robots with movement in mind', 'What robots need from clothing', 'Design skills for HRI']"
174,oBldxf0AAAAJ,XuQW7ogAAAAJ,1,"[""Who's Waldo? Linking People Across Text and Images""]"
175,duOys3YAAAAJ,ESJILIEAAAAJ,3,"['Designing a Soft, Mobile Interface for Multimodal Human-Robot Interaction', 'Errors in collective robotic construction', 'Nudging or waiting? automatically synthesized robot strategies for evacuating noncompliant users in an emergency situation']"
176,duOys3YAAAAJ,e1iAhHQAAAAJ,32,"['Efficiently Finding Optimal Winding-Constrained Loops in the Plane', 'Experimental Evaluation and Formal Analysis of High‐Level Tasks with Dynamic Obstacle Anticipation on a Full‐Sized Autonomous Vehicle', 'Experiments with Balancing on Irregular Terrains using the Dreamer Mobile Humanoid Robot.', 'Towards A Swarm of Agile Micro Quadrotors', 'FFT-Based Terrain Segmentation for Underwater Mapping', 'Real-Time Inverse Dynamics Learning for Musculoskeletal Robots Based on Echo State Gaussian Process Regression', 'On Stochastic Optimal Control and Reinforcement Learning by Approximate Inference', 'Execution and analysis of high-level tasks with dynamic obstacle anticipation', 'Reducing Conservativeness in Safety Guarantees by Learning Disturbances Online: Iterated Guaranteed Safe Online Learning', 'Variational Bayesian optimization for runtime risk-sensitive control', 'Development of a Testbed for Robotic Neuromuscular Controllers', 'Exploiting passive dynamics with variable stiffness actuation in robot brachiation', 'An integrated system for perception-driven autonomy with modular robots', 'Affine Trajectory Deformation for Redundant Manipulators', 'Failure Anticipation in Pursuit-Evasion', 'Optimal Control with Weighted Average Costs and Temporal Logic Specifications', 'Distributed, collaborative human-robotic networks for outdoor experiments in search, identify and track', 'E-Graphs: Bootstrapping Planning with Experience Graphs', 'Inference on Networks of Mixtures for Robust Robot Mapping', 'Probabilistic Temporal Logic for Motion Planning with Resource Threshold Constraints', 'Robust Object Grasping Using Force Compliant Motion Primitives', 'Visual Route Recognition with a Handful of Bits', 'Contextual Sequence Prediction with Application to Control Library Optimization', 'Hierarchical Motion Planning in Topological Representations', 'Feature-based prediction of trajectories for socially compliant navigation', 'Perception-informed autonomous environment augmentation with modular robots', 'Nonparametric Bayesian Models for Unsupervised Scene Analysis and Reconstruction', ""What's in the Bag: A Distributed Approach to 3D Shape Duplication with Modular Robots"", 'Minimal Coordinate Formulation of Contact Dynamics in Operational Space', 'Time-Optimal Trajectory Generation for Path Following with Bounded Acceleration and Velocity', 'Towards Persistent Localization and Mapping with a Continuous Appearance-Based Topology', 'Robust Navigation Execution by Planning in Belief Space']"
177,0et-ZhgAAAAJ,Rxm_97EAAAAJ,1,['ENCAPP: elastic-net-based prognosis prediction and biomarker discovery for human cancers']
178,0zrqo3B-66wC,I-rKkyEAAAAJ,16,"['The NEBULA Future Internet Architecture', 'Optimizing Power Consumption in Large Scale Storage Systems.', 'Router Reliability Research (R3)', 'Maelstrom: Transparent Error Correction for Lambda Networks.', 'The nebula future internet architecture', 'X1: Commodity Clusters with Real-Time Reflexes', 'Models and Methodologies', 'A brief overview of the NEBULA future internet architecture', 'Integrated approach to data center power management', 'Empirical characterization of uncongested optical lambda networks and 10gbe commodity endpoints', 'Instrumentation for exact packet timings in networks', 'Maelstrom: transparent error correction for communication between data centers', 'Beyond power proportionality: Designing power-lean cloud storage', 'Empirical Characterization of Uncongested Lambda Networks and 10GbE Commodity Endpoints', 'Exact temporal characterization of 10 Gbps optical wide-area network', 'Smoke and Mirrors: Reflecting Files at a Geographically Remote Location Without Loss of Performance.']"
179,0zrqo3B-66wC,TIGS4c8AAAAJ,1,['Models and Methodologies']
180,0zrqo3B-66wC,AH5j40kAAAAJ,2,"['P4FPGA', 'P4fpga: A rapid prototyping framework for p4']"
181,0zrqo3B-66wC,6c5cf1wAAAAJ,5,"['Seamless visions, seamful realities: anticipating rural infrastructural fragility in early design of digital agriculture', 'Analyzing abstraction in critical agri-food studies and computer science: toward interdisciplinary analysis of digital agriculture innovation', 'Paradoxes in Producing the Future of Farm Work: Anticipating Social Impact through the Lens of Early Adopters.', 'Seam work and simulacra of societal impact in networking research: A critical technical practice approach', 'Transdisciplinary collaborations for advancing sustainable and resilient agricultural systems']"
182,0zrqo3B-66wC,zkvW8FQAAAAJ,8,"['Extending Optimal Oblivious Reconfigurable Networks to all N', 'Pareto Optimal Oblivious Circuit-Switched Networks', 'Shale: A practical, scalable oblivious reconfigurable network', 'Semi-Oblivious Reconfigurable Datacenter Networks', 'Optimal oblivious reconfigurable networks', 'Improving Oblivious Reconfigurable Networks with High Probability.', 'Breaking the vlb barrier for oblivious reconfigurable networks', 'Poster: Scalability and congestion control in oblivious reconfigurable networks']"
183,0zrqo3B-66wC,HbFGylgAAAAJ,3,"['Towards an emergency edge supercloud', 'Vegvisir: A partition-tolerant blockchain for the internet-of-things', 'Untethered: Deployable Blockchains for IoT Environments']"
184,VrgmnEcAAAAJ,VX7d5EQAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
185,VrgmnEcAAAAJ,FsBCAfgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
186,VrgmnEcAAAAJ,Rh16nsIAAAAJ,1,['Interactive consensus agreement games for labeling images']
187,VrgmnEcAAAAJ,HbFGylgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
188,QJwabfEAAAAJ,ESJILIEAAAAJ,1,"['Robotic Barrier Construction through Weaved, Inflatable Tubes']"
189,QJwabfEAAAAJ,Iiut4KYAAAAJ,1,['Demo hour']
190,FJ7im7AAAAAJ,K2WfIlsAAAAJ,2,"['JoinGym: An Efficient Join Order Selection Environment', 'JoinGym: An Efficient Query Optimization Environment for Reinforcement Learning']"
191,dxS6iCgAAAAJ,W3hgmHoAAAAJ,1,['Is anyone out there? Unpacking Q&A hashtags on Twitter']
192,u3QxA40AAAAJ,VX7d5EQAAAAJ,3,"['Arbitrariness and social prediction: The confounding role of variance in fair classification', 'Arbitrariness and Prediction: The Confounding Role of Variance in Fair Classification', 'Is My Prediction Arbitrary? Confounding Effects of Variance in Fair Classification']"
193,u3QxA40AAAAJ,IeqjwlIAAAAJ,1,['Under the (neighbor) hood: Hyperlocal Surveillance on Nextdoor']
194,u3QxA40AAAAJ,AH5j40kAAAAJ,2,"['A Programming Language for Estates and Future Interests', 'Property conveyances as a programming language']"
195,u3QxA40AAAAJ,rEjgIskAAAAJ,1,"[""Machine Unlearning Doesn't Do What You Think: Lessons for Generative AI Policy, Research, and Practice""]"
196,u3QxA40AAAAJ,MGVrVSIAAAAJ,1,['Private Hierarchical Governance for Encrypted Messaging']
197,u3QxA40AAAAJ,kjYhZYwAAAAJ,1,['Mutual Benefit: The Case for Sharing Autonomous Vehicle Data with the Public']
198,70vJVxcAAAAJ,nX9D5AoAAAAJ,1,['Distributed learning with sublinear communication']
199,W3hgmHoAAAAJ,6c5cf1wAAAAJ,1,['The tools of management: Adapting historical union tactics to platform-mediated labor']
200,4Z6vo5QAAAAJ,VX7d5EQAAAAJ,3,"['On learning mixtures of heavy-tailed distributions', 'Are randomly grown graphs really random?', 'Foundations of data science']"
201,4Z6vo5QAAAAJ,FsBCAfgAAAAJ,2,"['Information and Computation', 'San Diego Orlando New York Austin Boston London Sydney Tokyo Toronto']"
202,4Z6vo5QAAAAJ,Rh16nsIAAAAJ,1,['Deep manifold traversal: Changing labels with convolutional features']
203,4Z6vo5QAAAAJ,8RVWMycAAAAJ,3,"['Snapshot ensembles: Train 1, get m for free', 'Deep manifold traversal: Changing labels with convolutional features', 'Snapshot ensembles: Train 1, get m for free. arXiv 2017']"
204,4Z6vo5QAAAAJ,zkvW8FQAAAAJ,3,"['On the separability of structural classes of communities', 'A separability framework for analyzing community structure', 'On the structure of communities in networks']"
205,4Z6vo5QAAAAJ,5tk1PV8AAAAJ,2,"['Error bounds for correlation clustering', 'Error Bounds for Correlation Clustering (DRAFT)']"
206,VX7d5EQAAAAJ,FsBCAfgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
207,VX7d5EQAAAAJ,lNM0S1kAAAAJ,8,"['On modeling human perceptions of allocation policies with uncertain outcomes', 'Roles for computing in social change', 'Designing Algorithmic Delegates', 'On the actionability of outcome prediction', 'Strategic evaluation', 'Mitigating bias in algorithmic hiring: Evaluating claims and practices', 'Using Large Language Models to Promote Health Equity', 'Informational Diversity and Affinity Bias in Team Growth Dynamics']"
208,VX7d5EQAAAAJ,8RVWMycAAAAJ,2,"['Advances in neural information processing systems', 'On fairness and calibration']"
209,VX7d5EQAAAAJ,EPQuuHMAAAAJ,4,"['Introduction to computer science and economic theory', 'Trading networks with price-setting agents', 'Network formation in the presence of contagious risk', 'Which networks are least susceptible to cascading failures?']"
210,VX7d5EQAAAAJ,oJESe-cAAAAJ,4,"['A New Start: Innovative Introductory AI-Centered Courses at Cornell.', 'You had me at hello: How phrasing affects memorability', 'Echoes of power: Language effects and power differences in social interaction', 'Internet collaboration on extremely difficult problems: Research versus Olympiad questions on the Polymath site']"
211,VX7d5EQAAAAJ,7OW6weoAAAAJ,2,"['From Wayback Machine to Yesternet: New opportunities for social science', 'Does bad news go away faster?']"
212,VX7d5EQAAAAJ,8qSK3noAAAAJ,2,"['Reconciling the accuracy-diversity trade-off in recommendations', 'Sparse Autoencoders for Hypothesis Generation']"
213,VX7d5EQAAAAJ,8Lp0W54AAAAJ,1,['A New Start: Innovative Introductory AI-Centered Courses at Cornell.']
214,VX7d5EQAAAAJ,zkvW8FQAAAAJ,12,"['Incentivizing exploration', 'Optimal stopping with behaviorally biased agents: The role of loss aversion and changing reference points', 'Direct uncertainty prediction for medical second opinions', 'Learning Theory 2004', 'Can deep reinforcement learning solve Erdos-Selfridge-Spencer games?', 'Delegated search approximates efficient search', 'Continuous-time model of structural balance', 'Analysis of a continuous-time model of structural balance', 'Network formation in the presence of contagious risk', 'Introduction to computer science and economic theory', 'Isomorphism and embedding problems for infinite limits of scale-free graphs.', 'Which networks are least susceptible to cascading failures?']"
215,VX7d5EQAAAAJ,_kqpoHIAAAAJ,2,"['Optimal Resource Allocation for Remediating Networked Contagions', 'Dynamic interventions for networked contagions']"
216,VX7d5EQAAAAJ,rEjgIskAAAAJ,3,"['Arbitrariness and Social Prediction: The Confounding Role of Variance in Fair Classification', 'Designing Algorithmic Delegates', 'Informational Diversity and Affinity Bias in Team Growth Dynamics']"
217,VX7d5EQAAAAJ,HbFGylgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
218,FsBCAfgAAAAJ,EPQuuHMAAAAJ,1,['Constructive decision theory']
219,FsBCAfgAAAAJ,TIGS4c8AAAAJ,2,"['37th International Symposium on Distributed Computing (DISC 2023)', 'Distributed computing meets game theory: combining insights from two fields']"
220,FsBCAfgAAAAJ,0_9V8PgAAAAJ,1,['Intervention and Conditioning in Causal Bayesian Networks']
221,FsBCAfgAAAAJ,Ddfev5kAAAAJ,4,"['The bottleneck may be the solution, not the problem', 'View metadata, citation and similar papers at core. ac. uk', 'The evolution of cognitive mechanisms in response to cultural innovations', 'General cognitive principles for learning structure in time and space']"
222,FsBCAfgAAAAJ,_kqpoHIAAAAJ,1,['Always Asking for Labels is Optimal (in a well-studied setting)']
223,FsBCAfgAAAAJ,HbFGylgAAAAJ,3,"['A decision-theoretic approach to resource allocation in wireless multimedia networks', 'Sensor-assisted ALOHA for wireless networks', 'The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']"
224,HsfKE0sAAAAJ,AH5j40kAAAAJ,2,"['Scalable verification of probabilistic networks', 'Guarded Kleene algebra with tests: verification of uninterpreted programs in nearly linear time']"
225,lNM0S1kAAAAJ,pfBh4zEAAAAJ,2,"['Million Eyes on the “Robot Umps”: The Case for Studying Sports in HRI Through Baseball', 'Artificial intelligence in communication impacts language and social relationships']"
226,lNM0S1kAAAAJ,IeqjwlIAAAAJ,3,"['Information Needs of Essential Workers During the COVID-19 Pandemic', 'Artificial intelligence in communication impacts language and social relationships', 'AI-mediated communication: Definition, research agenda, and ethical considerations']"
227,lNM0S1kAAAAJ,l3ZT5GkAAAAJ,2,"['Artificial intelligence in communication impacts language and social relationships', 'Publisher Correction: Artificial intelligence in communication impacts language and social relationships']"
228,lNM0S1kAAAAJ,jNQlAkoAAAAJ,1,['Computer vision and conflicting values: Describing people with automated alt text']
229,lNM0S1kAAAAJ,rEjgIskAAAAJ,3,"['Privacy Dependencies', 'Designing Algorithmic Delegates', 'Informational Diversity and Affinity Bias in Team Growth Dynamics']"
230,lNM0S1kAAAAJ,MGVrVSIAAAAJ,2,"['Digital technologies and intimate partner violence: A qualitative analysis with multiple stakeholders', 'The spyware used in intimate partner violence']"
231,nX9D5AoAAAAJ,8RVWMycAAAAJ,1,['Private causal inference']
232,Rh16nsIAAAAJ,I-rKkyEAAAAJ,1,['Computer science chairs']
233,Rh16nsIAAAAJ,8RVWMycAAAAJ,2,"['Deep manifold traversal: Changing labels with convolutional features', 'Deep feature interpolation for image content changes']"
234,Rh16nsIAAAAJ,e1iAhHQAAAAJ,1,['DeepSemanticHPPC: Hypothesis-based planning over uncertain semantic point clouds']
235,Rh16nsIAAAAJ,llo3F3QAAAAJ,10,"['A radiative transfer framework for rendering materials with anisotropic structure', 'State of the art in monte carlo global illumination', 'Structure-aware synthesis for predictive woven fabric appearance', 'Building volumetric appearance models of fabric using micro CT imaging', 'State of the art in Monte Carlo Global Illumination Course Notes', 'A radiative transfer framework for rendering materials with anisotropic structure: Expanded Technical Report', 'Matching Real Fabrics with Micro-Appearance Models.', 'Reconstructing translucent objects using differentiable rendering', 'Fast rendering of fabric micro-appearance models under directional and spherical gaussian lights', 'Noise derivatives Two Swiss bankers, Curdin Dalbert and have developed a system of Aircraft Noise Derivatives, to allow, for example, property purchasers to hedge against …']"
236,m6pbDsoAAAAJ,YKRiYRAAAAAJ,10,"['Limit theorems for entropic optimal transport maps and Sinkhorn divergence', 'Limit Distributions for Smooth Total Variation and χ2-Divergence in High Dimensions', 'Semi-discrete Gromov-Wasserstein distances: Existence of Gromov-Monge Maps and Statistical Theory', 'Stability and statistical inference for semidiscrete optimal transport maps', 'Approximation rates of entropic maps in semidiscrete optimal transport', 'Statistical inference with regularized optimal transport', 'Limit distribution theory for smooth p-Wasserstein distances', 'Statistical, robustness, and computational guarantees for sliced wasserstein distances', 'Smooth -Wasserstein Distance: Structure, Empirical Approximation, and Statistical Applications', 'Limit Laws for Gromov-Wasserstein Alignment with Applications to Testing Graph Isomorphisms']"
237,I-rKkyEAAAAJ,TIGS4c8AAAAJ,1,['Models and Methodologies']
238,I-rKkyEAAAAJ,AH5j40kAAAAJ,3,"['Compositional Gossip Protocols for Infrastructure Management', 'Software Defined Networks and Gossip Protocols', 'A Pairwise Abstraction for Round-Based Protocols']"
239,I-rKkyEAAAAJ,zkvW8FQAAAAJ,3,"['Building a secure and privacy-preserving smart grid', 'Anonymous, fault-tolerant distributed queries for smart devices', 'A Private Framework for Distributed Computation']"
240,8RVWMycAAAAJ,e1iAhHQAAAAJ,28,"['Unsupervised Domain Adaptation for Self-Driving from Past Traversal Features', 'Pre-training lidar-based 3d object detectors through colorization', 'End-to-end pseudo-lidar for image-based 3d object detection', 'Vision-only 3d tracking for self-driving cars', 'Supplementary Material: Pseudo-LiDAR from Visual Depth Estimation: Bridging the Gap in 3D Object Detection for Autonomous Driving', 'Wasserstein distances for stereo disparity estimation', 'Anytime stereo image depth estimation on mobile devices', 'A Meta Understanding of Meta-Learning', 'Ithaca365: Dataset and driving perception under repeated and challenging weather conditions', 'Revisiting meta-learning as supervised learning', ""Learning 3D Perception from Others' Predictions"", 'Supplementary Material: Train in Germany, Test in The USA: Making 3D Object Detectors Generalize', 'Unsupervised adaptation from repeated traversals for autonomous driving', 'Pseudo-lidar++: Accurate depth for 3d object detection in autonomous driving', 'Deep person re-identification for probabilistic data association in multiple pedestrian tracking', 'Exploiting playbacks in unsupervised domain adaptation for 3d object detection in self-driving cars', 'Transfer Your Perspective: Controllable 3D Generation from Any Viewpoint in a Driving Scene', 'Supplementary Material: Wasserstein Distances for Stereo Disparity Estimation', 'Mixed Signals: A Diverse Point Cloud Dataset for Heterogeneous LiDAR V2X Collaboration', 'Image-to-image translation for autonomous driving from coarsely-aligned image pairs', 'Diffubox: Refining 3d object detection with point diffusion', 'Better monocular 3d detectors with lidar from the past', 'Exploiting playbacks in unsupervised domain adaptation for 3D object detection', 'Train in germany, test in the usa: Making 3d object detectors generalize', 'Reward finetuning for faster and more accurate unsupervised object discovery', 'Pseudo-lidar from visual depth estimation: Bridging the gap in 3d object detection for autonomous driving', 'Learning to detect mobile objects from lidar scans without labels', 'Hindsight is 20/20: Leveraging past traversals to aid 3d perception']"
241,8RVWMycAAAAJ,K2WfIlsAAAAJ,1,[': Provably Optimal Distributional RL for LLM Post-Training']
242,8RVWMycAAAAJ,XuQW7ogAAAAJ,2,"['Wav2seq: Pre-training speech-to-text encoder-decoder models using pseudo languages', 'Performance-efficiency trade-offs in unsupervised pre-training for speech recognition']"
243,ESJILIEAAAAJ,jNQlAkoAAAAJ,2,"['Exploring Human-Drone Collaboration Through Contact Improvisation', 'A drone teacher: Designing physical human-drone interactions for movement instruction']"
244,YodN8B4AAAAJ,K2WfIlsAAAAJ,2,"['Reward maximization for pure exploration: Minimax optimal good arm identification for nonparametric multi-armed bandits', 'CSPI-MT: Calibrated Safe Policy Improvement with Multiple Testing for Threshold Policies']"
245,EPQuuHMAAAAJ,zkvW8FQAAAAJ,3,"['Introduction to computer science and economic theory', 'Which networks are least susceptible to cascading failures?', 'Network formation in the presence of contagious risk']"
246,EPQuuHMAAAAJ,HbFGylgAAAAJ,1,['Game theoretic analysis of privacy-aware Advanced Metering Infrastructure']
247,waote-8AAAAJ,ezjloXIAAAAJ,1,['Navigation Bar']
248,oJESe-cAAAAJ,8Lp0W54AAAAJ,1,['A New Start: Innovative Introductory AI-Centered Courses at Cornell.']
249,pfBh4zEAAAAJ,IeqjwlIAAAAJ,1,['Artificial intelligence in communication impacts language and social relationships']
250,pfBh4zEAAAAJ,l3ZT5GkAAAAJ,2,"['Artificial intelligence in communication impacts language and social relationships', 'The social consequences of machine allocation behavior: Fairness, interpersonal perceptions and performance']"
251,pfBh4zEAAAAJ,-pyztDMAAAAJ,4,"['Regulating feelings during interpersonal conflicts by changing voice self-perception', 'Mindless computing: designing technologies to subtly influence behavior', 'Mindless technologies to subtly influence behavior', 'EmotionCheck: leveraging bodily signals and false feedback to regulate our emotions']"
252,pfBh4zEAAAAJ,X1zsXTgAAAAJ,1,['Human-robot commensality: Bite timing prediction for robot-assisted feeding in groups']
253,pfBh4zEAAAAJ,e0IL7_MAAAAJ,1,['Rapidly Built Medical Crash Cart! Lessons Learned and Impacts on High-Stakes Team Collaboration in the Emergency Room']
254,pfBh4zEAAAAJ,kjYhZYwAAAAJ,2,"['Wizard of Props: Mixed Reality Prototyping with Physical Props to Design Responsive Environments', '(Social) Trouble on the Road: Understanding and Addressing Social Discomfort in Shared Car Trips']"
255,ezjloXIAAAAJ,cJ30MHUAAAAJ,1,['A regularized profile likelihood approach to covariance matrix estimation']
256,ezjloXIAAAAJ,_tSKmPYAAAAJ,2,"['Tree space prototypes: Another look at making tree ensembles interpretable', 'Probabilistic Matching: Incorporating Uncertainty to Correct for Selection Bias']"
257,ezjloXIAAAAJ,VCuHXdMAAAAJ,4,"['Integrative Analysis of Differentially Expressed Genes in Time-Course Multi-Omics Data with MINT-DE', 'Sparse reconstruction of ordinary differential equations with inference', 'Time series transcriptome analysis implicates the circadian clock in the Drosophila melanogaster female’s response to sex peptide', 'Dense time-course gene expression profiling of the Drosophila melanogaster innate immune response']"
258,ezjloXIAAAAJ,l7Xvq6oAAAAJ,7,"['ERRATUM TO: DRAWING THE LEGAL FAMILY TREE: AN EMPIRICAL COMPARATIVE STUDY OF', 'Machine-learning human rights', 'Pain and suffering damages in wrongful death cases: An empirical study', 'Pain and suffering damages in personal injury cases: an empirical study', 'Drawing the legal family tree: An empirical comparative study of 170 dimensions of property law in 129 jurisdictions', 'Drawing the Legal Family Tree: An Empirical Comparative Study of 108 Property Doctrines in 154 Jurisdictions', 'An Empirical Study of Pain and Suffering Damages in Personal Injury Cases']"
259,MIg7a1F-1yMC,_kqpoHIAAAAJ,3,"['Allocating with Priorities and Quotas: Algorithms, Complexity, and Dynamics', 'Fair and Efficient Allocation with Quotas', 'Online team formation under different synergies']"
260,7OW6weoAAAAJ,IeqjwlIAAAAJ,3,"['Misinformation does not reduce trust in accurate search results, but warning banners may backfire', 'Stereo-Typing: LLM Chatbots’ Appearance of Typing can Increase Belief in a False Stereotype', 'Trustworthiness Evaluations of Search Results: The Impact of Rank and Misinformation']"
261,IeqjwlIAAAAJ,8Lp0W54AAAAJ,1,['Google Faculty Research Awards 2016']
262,IeqjwlIAAAAJ,l3ZT5GkAAAAJ,1,['Artificial intelligence in communication impacts language and social relationships']
263,IeqjwlIAAAAJ,jNQlAkoAAAAJ,1,['Measuring and understanding online reading behaviors of people with dyslexia']
264,IeqjwlIAAAAJ,QpG20J0AAAAJ,1,['Companion publication of the 2021 conference on computer supported cooperative work and social computing']
265,IeqjwlIAAAAJ,MGVrVSIAAAAJ,3,"['Increasing adversarial uncertainty to scale private similarity testing', 'Characterizing twitter users who engage in adversarial interactions against political candidates', 'Towards measuring adversarial twitter interactions against candidates in the us midterm elections']"
266,_0jbd88AAAAJ,Ddfev5kAAAAJ,6,"['On the necessity of an interdisciplinary approach to language universals', 'How seriously should we take Minimalist syntax?', 'OUP PRODUCT NOT FOR SALE', 'Language Universal', 'Language universals', 'Language universals and the performance-grammar correspondence hypothesis']"
267,g_ayYI0AAAAJ,l3ZT5GkAAAAJ,5,"['“Retributive” vs.“Restorative:” The Audience’s Reactions toward Different Objection Strategies against Offenses on Social Media', 'Follow-up:“Retributive” vs.“Restorative:” The Audience’s Reactions toward Different Objection Strategies against Offenses on Social Media', 'Standing up to problematic content on social media: which objection strategies draw the audience’s approval?', 'Discursive objection strategies in online comments: Developing a classification schema and validating its training', 'The Effects of Objections on the On-Looking Audience on Social Media']"
268,AH5j40kAAAAJ,zkvW8FQAAAAJ,6,"['Merlin: programming the big switch', 'Merlin: A language for managing network resources', 'Managing the network with merlin', 'YATES: Rapid prototyping for traffic engineering systems', 'YATES', '{Semi-oblivious} traffic engineering: The road not taken']"
269,6c5cf1wAAAAJ,5lB_d78AAAAJ,1,['Publication Submission Form']
270,6c5cf1wAAAAJ,QpG20J0AAAAJ,1,['Environmental sustainability and interaction']
271,6c5cf1wAAAAJ,Iiut4KYAAAAJ,1,"['Making food, producing sustainability']"
272,6c5cf1wAAAAJ,5tk1PV8AAAAJ,1,['The enigmatics of affect']
273,6c5cf1wAAAAJ,SVIdh6AAAAAJ,1,['Publication Submission Form']
274,CO4txjAAAAAJ,-pyztDMAAAAJ,4,"['Equity-driven sensing system for measuring skin tone–calibrated peripheral blood oxygen saturation (optobeat): development, design, and evaluation study', '8𝑡ℎ International Workshop on Mental Health and Well-being: Sensing and Intervention', '6th International Workshop on Mental Health and Well-Being: Sensing and Intervention', '8th International Workshop on Mental Health and Well-being: Sensing and Intervention']"
275,CO4txjAAAAAJ,e0IL7_MAAAAJ,1,['VitalHide: Enabling Privacy-Aware Wireless Sensing of Vital Signs']
276,8Lp0W54AAAAJ,5tk1PV8AAAAJ,1,['Structured learning of sum-of-submodular higher order energy functions']
277,l3ZT5GkAAAAJ,5tk1PV8AAAAJ,3,"['Augmenting holistic review in university admission using natural language processing for essays and recommendation letters', 'Evaluating a learned admission-prediction model as a replacement for standardized tests in college admissions', 'Ending affirmative action harms diversity without improving academic merit']"
278,l3ZT5GkAAAAJ,kjYhZYwAAAAJ,1,['Social robots and virtual agents as lecturers for video instruction']
279,zkvW8FQAAAAJ,_kqpoHIAAAAJ,1,"['Threshold tests as quality signals: optimal strategies, equilibria, and price of anarchy']"
280,zkvW8FQAAAAJ,5tk1PV8AAAAJ,1,['Learning diverse rankings with multi-armed bandits']
281,xU-3sCQAAAAJ,X1zsXTgAAAAJ,1,['Evaluating human-in-the-loop assistive feeding robots under different levels of autonomy with VR simulation and physiological sensors']
282,cJ30MHUAAAAJ,VCuHXdMAAAAJ,1,['A co-segmentation algorithm to predict emotional stress from passively sensed mHealth data']
283,cJ30MHUAAAAJ,-pyztDMAAAAJ,2,"['FC5: Predicting adherence to psychotherapy with mHealth data using deep learning', 'Predicting adherence to psychotherapy from smartphones using deep learning']"
284,5lB_d78AAAAJ,SVIdh6AAAAAJ,1,['Publication Submission Form']
285,5lB_d78AAAAJ,XuQW7ogAAAAJ,2,"['Imitation Learning from a Single Temporally Misaligned Video', 'Time Your Rewards: Learning Temporally Consistent Rewards from a Single Video Demonstration']"
286,jNQlAkoAAAAJ,kjYhZYwAAAAJ,1,['Voice assistant strategies and opportunities for people with tetraplegia']
287,_kqpoHIAAAAJ,5tk1PV8AAAAJ,1,['Unbounded human learning: Optimal scheduling for spaced repetition']
288,Iiut4KYAAAAJ,kjYhZYwAAAAJ,1,['Unmaking as agonism: Using participatory design with youth to surface difference in an intergenerational urban context']
